,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Zafra,73,ES,1612654510,95,38.4167,-6.4167,48.0,5.01
1,Mataura,1,NZ,1612654284,51,-46.1927,168.8643,77.47,2.15
2,Vao,0,NC,1612654324,81,-22.6667,167.4833,77.58,4.52
3,Saint-Philippe,20,RE,1612654510,78,-21.3585,55.7679,78.8,3.44
4,Vaini,75,TO,1612654510,84,-21.2,-175.2,84.2,11.5
5,Grindavik,0,IS,1612654344,64,63.8424,-22.4338,33.8,21.85
6,Albany,1,US,1612654510,43,42.6001,-73.9662,28.99,9.22
7,Cherskiy,0,RU,1612654319,80,68.75,161.3,-5.51,4.85
8,San Cristobal,40,VE,1612654316,61,7.7669,-72.225,84.2,6.91
9,Hong Kong,0,HK,1612654339,62,22.2855,114.1577,66.0,7.47
10,Saint George,1,US,1612654511,17,37.1041,-113.5841,60.8,3.44
11,Hobart,75,AU,1612654202,59,-42.8794,147.3294,64.99,13.8
12,Pangoa,54,PE,1612654492,86,-12.1167,-73.0,73.2,0.78
13,Shirokiy,1,RU,1612654511,85,49.758,129.523,-22.07,6.78
14,Rikitea,100,PF,1612654290,69,-23.1203,-134.9692,78.67,9.84
15,Wewak,95,PG,1612654511,82,-3.5534,143.6268,79.79,6.51
16,Ribeira Grande,98,PT,1612654512,87,38.5167,-28.7,61.05,22.12
17,Port Alfred,45,ZA,1612654512,89,-33.5906,26.891,68.0,3.0
18,Port Augusta,90,AU,1612654512,68,-32.5,137.7667,66.2,12.66
19,Rio de Janeiro,90,BR,1612654351,88,-22.9028,-43.2075,77.0,3.44
20,Becerril,100,CO,1612654512,55,9.7041,-73.2793,84.51,11.86
21,Dikson,89,RU,1612654286,86,73.5069,80.5464,-28.52,9.53
22,Mount Gambier,90,AU,1612654239,77,-37.8333,140.7667,59.0,8.05
23,Bereket,100,TM,1612654326,85,39.2446,55.5154,46.22,9.26
24,Makakilo City,1,US,1612654512,44,21.3469,-158.0858,78.8,12.66
25,Lumut,20,MY,1612654513,94,4.2323,100.6298,73.4,6.46
26,Otukpo,0,NG,1612654513,19,7.1913,8.1329,75.79,0.54
27,Avarua,69,CK,1612654468,70,-21.2078,-159.775,86.0,13.8
28,Ushuaia,40,AR,1612654288,76,-54.8,-68.3,51.8,21.85
29,Mudanjiang,0,CN,1612654471,87,44.5833,129.6,-4.5,3.78
30,Bengkulu,100,ID,1612654513,74,-3.8004,102.2655,76.84,4.21
31,Boende,50,CD,1612654513,79,-0.2167,20.8667,74.53,1.61
32,Clyde River,20,CA,1612654513,84,70.4692,-68.5914,-11.2,2.3
33,Zhigansk,98,RU,1612654514,81,66.7697,123.3711,-37.77,12.59
34,Tarko-Sale,100,RU,1612654514,91,64.9225,77.785,-6.18,15.39
35,Wawa,89,NG,1612654514,24,9.9022,4.4192,78.53,3.24
36,La Ronge,85,CA,1612654311,57,55.1001,-105.2842,-20.2,5.75
37,Bambous Virieux,20,MU,1612654294,83,-20.3428,57.7575,77.0,3.44
38,Lorengau,98,PG,1612654514,68,-2.0226,147.2712,85.32,5.12
39,Barrow,20,US,1612654302,77,71.2906,-156.7887,-5.8,12.66
40,Acapulco de Juárez,1,MX,1612654251,61,16.8634,-99.8901,84.2,9.22
41,Hermanus,80,ZA,1612654514,89,-34.4187,19.2345,68.0,2.91
42,Doha,0,QA,1612654361,78,25.2867,51.5333,70.0,10.36
43,Lüderitz,0,NA,1612654419,61,-26.6481,15.1594,69.22,21.54
